conf,heat,name,PSNR,SSIM,LPIPS,LRC PSNR
MHFlow,0,14,27.7563782620237,0.8345274008770561,0.08793527632951736,13.238786772451597
MHFlow,0,13,17.91456259496554,0.741096544294877,0.15660296380519867,12.367250795108824
MHFlow,0,12,26.330571551291175,0.9130440797696675,0.09614312648773193,10.730476958176629
MHFlow,0,11,18.41753937605365,0.8727160604484913,0.1395753026008606,9.191299778963518
MHFlow,0,10,16.703136940018155,0.7804586060449686,0.2172999531030655,10.03205042220582
MHFlow,0,9,22.485148021205678,0.8789994713140082,0.10391369462013245,7.616751379812844
MHFlow,0,8,23.171345501438203,0.7406232724467349,0.14261668920516968,10.62699029773629
MHFlow,0,7,17.550281118395908,0.7818586835731196,0.1109292283654213,9.363094141945693
MHFlow,0,6,21.10117755570432,0.9069996796931502,0.09113432466983795,8.247862187426762
MHFlow,0,5,15.775203351243194,0.8813074223966978,0.11163246631622314,8.753067119033664
MHFlow,0,4,14.773004263204996,0.8738476071472201,0.11137887835502625,8.507090698115146
MHFlow,0,3,13.620214488279494,0.8129136527410731,0.16804902255535126,8.128312934813586
MHFlow,0,2,15.019682068214571,0.8139788546476048,0.24340161681175232,7.646673006582695
MHFlow,0,1,21.883577738715807,0.895961635225186,0.12575176358222961,7.478387377084044
MHFlow,0,0,20.949749884852153,0.8907058624719654,0.08223554491996765,8.9334046431891
